Main Category,"AGRI/
PLUMBING & SANITATION",Product Segment,Material Group Description,Material Code ,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder,Sales Observations (Sachin)
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1226,1004,20MM 12.5KG/CM2 PLAIN,MTR,43.50,PRICE PER MTR,PLAIN,6,AGRI RIGID PLAIN PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1179,1005,25MM 10KG/CM2 PLAIN (5 MTR),MTR,52.00,PRICE PER MTR,PLAIN,5,AGRI RIGID PLAIN PIPE-10KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1188,1007,32MM 10KG/CM2 PLAIN (5 MTR),MTR,83.50,PRICE PER MTR,PLAIN,5,AGRI RIGID PLAIN PIPE-10KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1222,1017,25MM 12.5KG/CM2 SELFIT,MTR,63.50,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1156,1011,25MM 12.5KG/CM2 SELFIT (3 MTR),MTR,63.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1168,1014,25MM 12.5KG/CM2 SELFIT (5 MTR),MTR,63.50,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1223,1026,32MM 12.5KG/CM2 SELFIT,MTR,103.00,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1157,1020,32MM 12.5KG/CM2 SELFIT (3 MTR ),MTR,103.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1169,1023,32MM 12.5KG/CM2 SELFIT (5 MTR ),MTR,103.00,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1224,1038,40MM 12.5KG/CM2 SELFIT,MTR,158.50,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1158,1030,40MM 12.5KG/CM2 SELFIT (3 MTR),MTR,158.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1177,1034,40MM 12.5KG/CM2 SELFIT (5 MTR),MTR,158.50,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1189,1036,40MM 8KG/CM2 SELFIT,MTR,106.50,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-8KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1149,1028,40MM 8KG/CM2 SELFIT (3 MTR),MTR,106.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-8KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1166,1032,40MM 8KG/CM2 SELFIT (5 MTR),MTR,106.50,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-8KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1225,1050,50MM 12.5KG/CM2 SELFIT,MTR,241.00,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1159,1042,50MM 12.5KG/CM2 SELFIT (3 MTR ),MTR,241.00,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1178,1046,50MM 12.5KG/CM2 SELFIT (5 MTR ),MTR,241.00,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-12.5KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1199,1048,50MM 8KG/CM2 SELFIT,MTR,169.50,PRICE PER MTR,SELFIT,6,AGRI SELFIT PIPE-8KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1155,1040,50MM 8KG/CM2 SELFIT (3 MTR),MTR,169.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-8KG,Changes
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,AS1167,1044,50MM 8KG/CM2 SELFIT (5 MTR),MTR,169.50,PRICE PER MTR,SELFIT,5,AGRI SELFIT PIPE-8KG,Changes
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,AM1167,1093,110MM 10KG/CM2 SELFIT (3 MTR),MTR,935.50,PRICE PER MTR,SELFIT,3,AGRI SELFIT PIPE-10KG,Changes
