Main Category,"Agri/
Non Agri",Product Segment,Material Group Description,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1226,20MM 12.5KG/CM2 PLAIN,MTR,43.50,Price Per Meter,PLAIN,6,AGRI RIGID PLAIN PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1179,25MM 10KG/CM2 PLAIN (5 MTR),MTR,52.00,Price Per Meter,PLAIN,5,AGRI RIGID PLAIN PIPE-10KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1188,32MM 10KG/CM2 PLAIN (5 MTR),MTR,83.50,Price Per Meter,PLAIN,5,AGRI RIGID PLAIN PIPE-10KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1222,25MM 12.5KG/CM2 SELFIT,MTR,63.50,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1156,25MM 12.5KG/CM2 SELFIT (3 MTR),MTR,63.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1168,25MM 12.5KG/CM2 SELFIT (5 MTR),MTR,63.50,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1223,32MM 12.5KG/CM2 SELFIT,MTR,103.00,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1157,32MM 12.5KG/CM2 SELFIT (3 MTR ),MTR,103.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1169,32MM 12.5KG/CM2 SELFIT (5 MTR ),MTR,103.00,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1224,40MM 12.5KG/CM2 SELFIT,MTR,158.50,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1158,40MM 12.5KG/CM2 SELFIT (3 MTR),MTR,158.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1177,40MM 12.5KG/CM2 SELFIT (5 MTR),MTR,158.50,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1189,40MM 8KG/CM2 SELFIT,MTR,106.50,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-8KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1149,40MM 8KG/CM2 SELFIT (3 MTR),MTR,106.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-8KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1166,40MM 8KG/CM2 SELFIT (5 MTR),MTR,106.50,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-8KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1225,50MM 12.5KG/CM2 SELFIT,MTR,241.00,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1159,50MM 12.5KG/CM2 SELFIT (3 MTR ),MTR,241.00,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1178,50MM 12.5KG/CM2 SELFIT (5 MTR ),MTR,241.00,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-12.5KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1199,50MM 8KG/CM2 SELFIT,MTR,169.50,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-8KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1155,50MM 8KG/CM2 SELFIT (3 MTR),MTR,169.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-8KG
AGRI SMALL DIA PIPE,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1167,50MM 8KG/CM2 SELFIT (5 MTR),MTR,169.50,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-8KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1167,110MM 10KG/CM2 SELFIT (3 MTR),MTR,935.50,Price Per Meter,SELFIT,3,AGRI SELFIT PIPE-10KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1226,110MM 10KG/CM2 SELFIT (5 MTR),MTR,935.50,Price Per Meter,SELFIT,5,AGRI SELFIT PIPE-10KG
AGRI MEDIUM DIA PIPE,AGRI,PIPE,AGRI MEDIUM DIA PIPE,AM1244,110MM 12.5KG/CM2 SELFIT,MTR,1145.00,Price Per Meter,SELFIT,6,AGRI SELFIT PIPE-12.5KG
