ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US2339,"48.26MM (11/2"") BLUE HANDLE UPVC BV (P90)",No.s,67.50,PRICE PER NO.,BALL VALVE ACCESSORIES - BLUE HANDLE,90,ASTM BALL VALVE ACCESSORIES - BLUE HANDLE,Bracket incomplete
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1559,"26.67X21.34MM(3/4X1/2"")RED SH80(P320)",No.s,13.50,PRICE PER NO.,REDUCER,320,ASTM REDUCER,Changes
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1114,"42.16X26.67MM(11/4X3/4"")R.BUSH SH80(P120)",No.s,20.50,PRICE PER NO.,REDUCING BUSH,120,ASTM REDUCING BUSH,Bracket incomplete
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1117,"48.26X21.34MM(11/2 X1/2"")R.BUSH SH80(P100)",No.s,27.50,PRICE PER NO.,REDUCING BUSH,100,ASTM REDUCING BUSH,Material description is not proper
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1118,"48.26X26.67MM(11/2 X3/4"")R.BUSH SH80(P90)",No.s,28.00,PRICE PER NO.,REDUCING BUSH,90,ASTM REDUCING BUSH,Bracket incomplete
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1122,"48.26X42.16MM(11/2X11/4"")R.BUSH SH80(200)",No.s,13.00,PRICE PER NO.,REDUCING BUSH,200,ASTM REDUCING BUSH,Bracket incomplete
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1228,"26.67X21.34MM(3/4X1/2"")BRASS ELBOW(P160)",No.s,134.50,PRICE PER NO.,REDUCING BRASS ELBOW 90 DEG,160,ASTM REDUCING ELBOW  90° - BRASS INSERT,Changes
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1229,"33.40X21.34MM(1X1/2"")BRASS ELBOW (P135)",No.s,148.00,PRICE PER NO.,REDUCING BRASS ELBOW 90 DEG,135,ASTM REDUCING ELBOW  90° - BRASS INSERT,Changes
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1233,"33.40X26.67MM (1X3/4"") BRASS ELBOW (P25)",No.s,179.00,PRICE PER NO.,REDUCING BRASS ELBOW 90 DEG,25,ASTM REDUCING ELBOW  90° - BRASS INSERT,Changes
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1355,"26.67X21.34MM(3/4X1/2"")BRASS M.T.A.(P144)",No.s,160.00,PRICE PER NO.,REDUCING BRASS (M.T.A.),144,ASTM REDUCING MALE THREADED ADAPTER (M.T.A.) BRASS INSERT,Bracket incomplete
ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,US1288,"26.67X21.34MM(3/4X1/2"")BRASS F.T.A.(P180)",No.s,114.50,PRICE PER NO.,REDUCING BRASS (F.T.A.),180,ASTM REDUCING  FEMALE THREADED ADAPTER (F.T.A.) BRASS INSERT,Bracket incomplete
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1111,75MMX87.5° BEND WITH INT RING (P27),No.s,104.50,PRICE PER NO.,PLAIN BEND - 87.5 DEG,27,SWR IRR BEND 87.5° - PLAIN,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1112,90MM X87.5° BEND WITH INT RING (P26),No.s,138.00,PRICE PER NO.,PLAIN BEND - 87.5 DEG,26,SWR IRR BEND 87.5° - PLAIN,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1113,110MMX87.5° BEND WITH INT RING (P17),No.s,181.50,PRICE PER NO.,PLAIN BEND - 87.5 DEG,17,SWR IRR BEND 87.5° - PLAIN,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1114,160MMX87.5° BEND WITH INT RING (P7),No.s,438.50,PRICE PER NO.,PLAIN BEND - 87.5 DEG,7,SWR IRR BEND 87.5° - PLAIN,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1115,75MMX87.5°BEND (DOOR)WITH INT RING (P21),No.s,131.00,PRICE PER NO.,DOOR BEND - 87.5 DEG,21,SWR IRR BEND 87.5° - DOOR,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1116,90MM X87.5° BEND(DOOR)WITH INT RING(P24),No.s,168.00,PRICE PER NO.,DOOR BEND - 87.5 DEG,24,SWR IRR BEND 87.5° - DOOR,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1117,110MMX87.5°BEND (DOOR)WITH INT RING(P15),No.s,222.00,PRICE PER NO.,DOOR BEND - 87.5 DEG,15,SWR IRR BEND 87.5° - DOOR,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1118,160MMX87.5° BEND (DOOR)WITH INT RING(P7),No.s,475.50,PRICE PER NO.,DOOR BEND - 87.5 DEG,7,SWR IRR BEND 87.5° - DOOR,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1119,75MMX45° BEND WITH INTEGRATED RING (P36),No.s,97.50,PRICE PER NO.,PLAIN BEND - 45 DEG,36,SWR IRR BEND 45° - PLAIN,Material Description is not given in app
SWR FITTINGS WITH INTEGRATED RING,PLUMBING & SANITATION,FITTINGS,SWR FITTING WITH IRR,IF1122,90MM X45° BEND WITH INTEGRATED RING(P32),No.s,124.50,PRICE PER NO.,PLAIN BEND - 45 DEG,32,SWR IRR BEND 45° - PLAIN,Material Description is not given in app
