MAIN CATAGORY,"AGRI /
 NON AGRI","PRODUCT
SEGMENT",Material Group Description,Material Sub Type,Name of the file,File Link,Material Code ,Material Description,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,PLAIN ,,https://drive.google.com/uc?export=view&id=1G2nHg30XSKupWNpT01Kb53Yi8yuzLIUn,SF1667,75MM CLEANING PIPE (GRR) G (P24),https://drive.google.com/uc?export=view&id/1L0CKBRwATUjkbpSS6KRDoj3lsneZbtq8/view?usp=sharing
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,PLAIN ,,,SF1668,110MM CLEANING PIPE (GRR) G (P16),https://drive.google.com/uc?export=view&id/1L0CKBRwATUjkbpSS6KRDoj3lsneZbtq8/view?usp=sharing
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,PLAIN ,,,SF1669,160MM CLEANING PIPE (GRR) G (P15),https://drive.google.com/uc?export=view&id/1L0CKBRwATUjkbpSS6KRDoj3lsneZbtq8/view?usp=sharing
,,,,,,,SF1111,50MMX87.5° BEND (S/F) G (P100),
,,,,,,,SF1112,63MMX87.5° BEND (S/F) G (P45),
,,,,,,,SF1113,75MMX87.5° BEND (S/F) G (P36),
,,,,,,,SF1114,90MMX87.5° BEND (S/F) G (P25),
,,,,,,,SF1115,110MMX87.5°BEND (S/F) G (P24),
,,,,,,,SF1116,160MMX87.5° BEND (S/F) G (P8),
,,,,,,,SF1117,50MMX87.5° BEND (DOOR) (S/F) G (P80),
,,,,,,,SF1118,63MMX87.5° BEND (DOOR) (S/F) G (P35),
,,,,,,,SF1119,75MMX87.5° BEND (DOOR) (S/F) G (P25),
,,,,,,,SF1122,90MMX87.5° BEND (DOOR) (S/F) G (P24),
,,,,,,,SF1123,110MMX87.5°BEND (DOOR) (S/F) G (P18),
,,,,,,,SF1124,160MMX87.5° BEND (DOOR) (S/F) G (P8),
,,,,,,,SF1139,40MMX45° BEND (S/F) G (P100),
,,,,,,,SF1144,50MMX45° BEND (S/F) G (P50),
,,,,,,,SF1145,63MMX45° BEND (S/F) G (P60),
,,,,,,,SF1146,75MMX45° BEND (S/F) G (P40),
,,,,,,,SF1147,90MMX45° BEND (S/F) G (P36),
,,,,,,,SF1148,110MMX45° BEND (S/F) G (P32),
,,,,,,,SF1149,140MMX45° BEND (S/F) G (P9),
,,,,,,,SF1155,160MMX45° BEND (S/F) G (P9),
,,,,,,,SF1157,110MMX45° BEND DOUBLE SOCKET S/F G(P32),
,,,,,,,SF1156,75MMX45° BEND DOUBLE SOCKET S/F G(P90),
,,,,,,,SF1377,110MM SQ. GULLY TRAP (W/O JALI) G (P8),
,,,,,,,SF1445,110MM SQUARE JALI FOR MFT SWR G (P54),https://drive.google.com/uc?export=view&id/1jZ54RzABZaXuGQLvpbkKLqOBXAHq4gxz/view?usp=sharing
