MAIN CATAGORY,"AGRI /
 NON AGRI","PRODUCT
SEGMENT",Material Group Description,Material Sub Type,Name of the file,File Link,Material Code ,Material Description,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,PLAIN ,,,AR1135,,https://drive.google.com/uc?export=view&id=1yWGSQ8UOgae3jB8aPd-4C0rGrPBX66cZ/view?usp=sharing
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,PLAIN ,,,AS1114,,https://drive.google.com/uc?export=view&id=1T1BG6jQwi8fqN-YNc_7HHcocB1vzBdyU/view?usp=sharing
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,PLAIN ,,,AS1115,,https://drive.google.com/uc?export=view&id=1T1BG6jQwi8fqN-YNc_7HHcocB1vzBdyU/view?usp=sharing
,,,,,,,AS1111,,https://drive.google.com/uc?export=view&id=170SokzJBeOy48q1EBANrKB3r0G5bqMo8/view?usp=sharing
,,,,,,,AS1112,,https://drive.google.com/uc?export=view&id=170SokzJBeOy48q1EBANrKB3r0G5bqMo8/view?usp=sharing
,,,,,,,AS1113,,https://drive.google.com/uc?export=view&id=170SokzJBeOy48q1EBANrKB3r0G5bqMo8/view?usp=sharing
,,,,,,,AS1116,,https://drive.google.com/uc?export=view&id=1Yc1Tdcu-1wgnjMGL4pk1wxVyO2ISFyNC/view?usp=sharing
,,,,,,,AS1117,,https://drive.google.com/uc?export=view&id=1Yc1Tdcu-1wgnjMGL4pk1wxVyO2ISFyNC/view?usp=sharing
,,,,,,,AS1118,,https://drive.google.com/uc?export=view&id=1Yc1Tdcu-1wgnjMGL4pk1wxVyO2ISFyNC/view?usp=sharing
,,,,,,,AS1119,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AS1122,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AS1123,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AS1124,,https://drive.google.com/uc?export=view&id=1Yc1Tdcu-1wgnjMGL4pk1wxVyO2ISFyNC/view?usp=sharing
,,,,,,,AS1125,,https://drive.google.com/uc?export=view&id=1Yc1Tdcu-1wgnjMGL4pk1wxVyO2ISFyNC/view?usp=sharing
,,,,,,,AS1126,,https://drive.google.com/uc?export=view&id=1Yc1Tdcu-1wgnjMGL4pk1wxVyO2ISFyNC/view?usp=sharing
,,,,,,,AS1127,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AS1128,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AS1129,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AS1133,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AS1134,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AS1135,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AS1136,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AS1147,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AS1137,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AS1138,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AS1139,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AS1144,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AS1145,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AS1148,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AS1146,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AM1111,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AM1112,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AM1113,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AM1114,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AM1145,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AM1155,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AM1115,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AM1149,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AM1116,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AM1117,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AM1118,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AM1146,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AM1119,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AM1122,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AM1123,,https://drive.google.com/uc?export=view&id=1ZQ3xu2NDB5AXmsio-gEiHmfA3zL7yZjk/view?usp=sharing
,,,,,,,AM1124,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AM1125,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AM1126,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AM1127,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AM1128,,https://drive.google.com/uc?export=view&id=1ZQ3xu2NDB5AXmsio-gEiHmfA3zL7yZjk/view?usp=sharing
,,,,,,,AM1129,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AM1133,,https://drive.google.com/uc?export=view&id=1ZQ3xu2NDB5AXmsio-gEiHmfA3zL7yZjk/view?usp=sharing
,,,,,,,AM1134,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AM1135,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AM1136,,https://drive.google.com/uc?export=view&id=1Yc1Tdcu-1wgnjMGL4pk1wxVyO2ISFyNC/view?usp=sharing
,,,,,,,AM1137,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AM1138,,https://drive.google.com/uc?export=view&id=11k5_gexSTiXJYNGMq8crE69NAlU_pk4f/view?usp=sharing
,,,,,,,AM1139,,https://drive.google.com/uc?export=view&id=11k5_gexSTiXJYNGMq8crE69NAlU_pk4f/view?usp=sharing
,,,,,,,AM1144,,https://drive.google.com/uc?export=view&id=13jabDcw3E6qGcEvBe7-uo_gk9yAGaD2-/view?usp=sharing
,,,,,,,AH1111,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AH1112,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AH1113,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AH1114,,https://drive.google.com/uc?export=view&id=1ZQ3xu2NDB5AXmsio-gEiHmfA3zL7yZjk/view?usp=sharing
,,,,,,,AH1115,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AH1116,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AH1117,,https://drive.google.com/uc?export=view&id=1Yc1Tdcu-1wgnjMGL4pk1wxVyO2ISFyNC/view?usp=sharing
,,,,,,,AH1118,,https://drive.google.com/uc?export=view&id=1-tATTsvWy50C6X0A5hZb9r1pKMZLFL3D/view?usp=sharing
,,,,,,,AH1119,,https://drive.google.com/uc?export=view&id=1jvf0gDSDXAazWeR4MsgdSKdQkTgAGU8O/view?usp=sharing
,,,,,,,AH1122,,https://drive.google.com/uc?export=view&id=18AABxywRkKfFPEvrmTs19IxkWevSkzh0/view?usp=sharing
,,,,,,,AH1267,,https://drive.google.com/uc?export=view&id=1ZQ3xu2NDB5AXmsio-gEiHmfA3zL7yZjk/view?usp=sharing
,,,,,,,AH1123,,https://drive.google.com/uc?export=view&id=1ZQ3xu2NDB5AXmsio-gEiHmfA3zL7yZjk/view?usp=sharing
