"Sr
 No",Main Category,"AGRI/
PLUMBING & SANITATION",Product Segment,Material Group Description,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder,Sales Observations
794,CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1112,"150MM(6"") CPVC 90degreesymbol ELBOW SH40  (P1)",No.s,3856.00,PRICE PER NO.,ELBOW 90 DEG. SCH40,1,CPVC SCH 40 - ELBOW 90degreesymbol,Changes
795,CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CH1113,"150MM(6"") CPVC 45degreesymbol ELBOW SH40  (P1)",No.s,4227.00,PRICE PER NO.,ELBOW 45 DEG. SCH40,1,CPVC SCH 40 - ELBOW 45degreesymbol,Changes
948,ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,UH1145,"73.02MM (21/2""X45degreesymbol) ELBOW SH-80 (P16)",No.s,179.50,PRICE PER NO.,ELBOW 45 DEG,16,ASTM ELBOW 45degreesymbol,Changes
949,ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,UH1146,"88.90MM (3""X45degreesymbol) ELBOW SH-80 (P10)",No.s,258.00,PRICE PER NO.,ELBOW 45 DEG,10,ASTM ELBOW 45degreesymbol,Changes
950,ASTM FITTING,PLUMBING & SANITATION,FITTINGS,ASTM FITTING,UH1147,"114.30MM (4""X45degreesymbol) ELBOW SH-80 (P6)",No.s,442.00,PRICE PER NO.,ELBOW 45 DEG,6,ASTM ELBOW 45degreesymbol,Changes
1795,COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1179,"40MM NB (11/2"") COLUMN PIPE (V4) (1.5 MTR)",MTR,368.50, PRICE PER MTR,V4 - COUPLER TYPE,30,COLUMN PIPE-COUPLER V4 15KG,Changes
1799,COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1188,"40MM NB (11/2"") COLUMN PIPE (CRYSTAL)  (1.5 MTR)",MTR,426.00, PRICE PER MTR,CRYSTAL - COUPLER TYPE,30,COLUMN PIPE-COUPLER CRYSTAL,Changes
1805,COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1222,"65 MM NB (21/2"") COLUMN PIPE (MEDIUM) (1.5 MTR)",MTR,643.50, PRICE PER MTR,MEDIUM - COUPLER TYPE,15,COLUMN PIPE-COUPLER MEDIUM,Changes
1812,COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1224,"40 MM NB (11/2"") COLUMN PIPE (STANDARD) (1.5 MTR)",MTR,479.00, PRICE PER MTR,STANDARD - COUPLER TYPE,30,COLUMN PIPE-COUPLER STANDARD,Changes
1816,COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1226,"65 MM NB (21/2"") COLUMN PIPE (STANDARD) (1.5 MTR)",MTR,811.00, PRICE PER MTR,STANDARD - COUPLER TYPE,15,COLUMN PIPE-COUPLER STANDARD,Changes
1822,COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1228,"40 MM NB (11/2"") COLUMN PIPE (HEAVY) (1.5 MTR)",MTR,593.50, PRICE PER MTR,HEAVY - COUPLER TYPE ,22.5,COLUMN PIPE-OUPLER HEAVY,Changes
1826,COLUMN PIPE,AGRI,PIPES,COLUMN PIPE,CO1233,"65 MM NB (21/2"") COLUMN PIPE (HEAVY) (1.5 MTR)",MTR,1078.00, PRICE PER MTR,HEAVY - COUPLER TYPE ,10.5,COLUMN PIPE-OUPLER HEAVY,Changes
