"AGRI/
PLUMBING & SANITATION",Product Segment,Material Group Description,Material Code ,Material Description,UOM,List Price Per Mtr (in Rs),Packing,Material Sub Type,UOM,Image Name in NEW SKU_PNG folder,Sales Observations,
AGRI MOULDED FITTING,AGRI,FITTINGS,AGRI MOULDED FITTING,MS1245,25MM x 20MM BRASS TEE (P-100),No.s,139.50,PRICE PER NO.,BRASS TEE,100,AGRI M TEE - BRASS INSERT,Changes
AGRI MOULDED FITTING,AGRI,FITTINGS,AGRI MOULDED FITTING,MM1228,"75X75MM (2 1/2"") 6KG F.T.A. (P-40)",No.s,71.00,PRICE PER NO.,FEMALE THREADED ADAPTOR (F.T.A),40,AGRI M FEMALE THREADED ADAPTER (F.T.A.),Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4579,"22.2X15.9MM(3/4X1/2"")CPVC R.BUSH (P400)",No.s,12.00,PRICE PER NO.,REDUCER BUSH,400,CPVC REDUCING BUSH,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4589,"34.9X15.9MM(11/4X1/2"")CPVC R.BUSH (P150)",No.s,50.00,PRICE PER NO.,REDUCER BUSH,150,CPVC REDUCING BUSH,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3337,"34.9X22.2MM(11/4X3/4"")CPVC R.BUSH (P120)",No.s,38.00,PRICE PER NO.,REDUCER BUSH,120,CPVC REDUCING BUSH,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3338,"34.9X28.6MM(11/4X1"") CPVC R.BUSH (P125)",No.s,32.00,PRICE PER NO.,REDUCER BUSH,125,CPVC REDUCING BUSH,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4599,"41.3X15.9MM(11/2X1/2"")CPVC R.BUSH (P80)",No.s,75.50,PRICE PER NO.,REDUCER BUSH,80,CPVC REDUCING BUSH,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS3339,"41.3X22.2MM(11/2X3/4"")CPVC R.BUSH (P75)",No.s,60.00,PRICE PER NO.,REDUCER BUSH,75,CPVC REDUCING BUSH,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS4669,"54 X34.9MM(2X11/4"") CPVC R.BUSH (P30)",No.s,121.00,PRICE PER NO.,REDUCER BUSH,30,CPVC REDUCING BUSH,Changes
CPVC FITTING,PLUMBING & SANITATION,FITTINGS,CPVC FITTING,CS5568,"21.34X15.9MM(1/2X1/2"")TRANS BUSH (P300)",No.s,13.50,PRICE PER NO.,TRANSITION BUSH,300,CPVC TRANSITION BUSH,Changes
