CLEANING PIPE,SF1667,75MM CLEANING PIPE (GRR) G (P24),https://drive.google.com/uc?export=view&id=1L0CKBRwATUjkbpSS6KRDoj3lsneZbtq8
CLEANING PIPE,SF1668,110MM CLEANING PIPE (GRR) G (P16),https://drive.google.com/uc?export=view&id=1L0CKBRwATUjkbpSS6KRDoj3lsneZbtq8
CLEANING PIPE,SF1669,160MM CLEANING PIPE (GRR) G (P15),https://drive.google.com/uc?export=view&id=1L0CKBRwATUjkbpSS6KRDoj3lsneZbtq8
PLAIN BEND - 87.5 DEG,SF1111,50MMX87.5° BEND (S/F) G (P100),
PLAIN BEND - 87.5 DEG,SF1112,63MMX87.5° BEND (S/F) G (P45),
PLAIN BEND - 87.5 DEG,SF1113,75MMX87.5° BEND (S/F) G (P36),
PLAIN BEND - 87.5 DEG,SF1114,90MMX87.5° BEND (S/F) G (P25),
PLAIN BEND - 87.5 DEG,SF1115,110MMX87.5°BEND (S/F) G (P24),
PLAIN BEND - 87.5 DEG,SF1116,160MMX87.5° BEND (S/F) G (P8),
DOOR BEND - 87.5 DEG,SF1117,50MMX87.5° BEND (DOOR) (S/F) G (P80),
DOOR BEND - 87.5 DEG,SF1118,63MMX87.5° BEND (DOOR) (S/F) G (P35),
DOOR BEND - 87.5 DEG,SF1119,75MMX87.5° BEND (DOOR) (S/F) G (P25),
DOOR BEND - 87.5 DEG,SF1122,90MMX87.5° BEND (DOOR) (S/F) G (P24),
DOOR BEND - 87.5 DEG,SF1123,110MMX87.5°BEND (DOOR) (S/F) G (P18),
DOOR BEND - 87.5 DEG,SF1124,160MMX87.5° BEND (DOOR) (S/F) G (P8),
BEND 45 DEG,SF1139,40MMX45° BEND (S/F) G (P100),
BEND 45 DEG,SF1144,50MMX45° BEND (S/F) G (P50),
BEND 45 DEG,SF1145,63MMX45° BEND (S/F) G (P60),
BEND 45 DEG,SF1146,75MMX45° BEND (S/F) G (P40),
BEND 45 DEG,SF1147,90MMX45° BEND (S/F) G (P36),
BEND 45 DEG,SF1148,110MMX45° BEND (S/F) G (P32),
BEND 45 DEG,SF1149,140MMX45° BEND (S/F) G (P9),
BEND 45 DEG,SF1155,160MMX45° BEND (S/F) G (P9),
BEND 45 DEG - DOUBLE SOCKET,SF1157,110MMX45° BEND DOUBLE SOCKET S/F G(P32),
BEND 45 DEG - DOUBLE SOCKET,SF1156,75MMX45° BEND DOUBLE SOCKET S/F G(P90),
SQUARE GULLY TRAP WITH JALI,SF1377,110MM SQ. GULLY TRAP (W/O JALI) G (P8),
SQUARE JALI FOR MULTI FLOOR TRAP,SF1445,110MM SQUARE JALI FOR MFT SWR G (P54),https://drive.google.com/uc?export=view&id=1jZ54RzABZaXuGQLvpbkKLqOBXAHq4gxz
PLAIN BEND - 87.5 DEG,IF1111,75MMX87.5° BEND WITH INT RING (P27),
PLAIN BEND - 87.5 DEG,IF1112,90MM X87.5° BEND WITH INT RING (P26),
PLAIN BEND - 87.5 DEG,IF1113,110MMX87.5° BEND WITH INT RING (P17),
PLAIN BEND - 87.5 DEG,IF1114,160MMX87.5° BEND WITH INT RING (P7),
DOOR BEND - 87.5 DEG,IF1115,75MMX87.5°BEND (DOOR)WITH INT RING (P21),
DOOR BEND - 87.5 DEG,IF1116,90MM X87.5° BEND(DOOR)WITH INT RING(P24),
DOOR BEND - 87.5 DEG,IF1117,110MMX87.5°BEND (DOOR)WITH INT RING(P15),
DOOR BEND - 87.5 DEG,IF1118,160MMX87.5° BEND (DOOR)WITH INT RING(P7),
PLAIN BEND - 45 DEG,IF1119,75MMX45° BEND WITH INTEGRATED RING (P36),
PLAIN BEND - 45 DEG,IF1122,90MM X45° BEND WITH INTEGRATED RING(P32),
PLAIN BEND - 45 DEG,IF1123,110MMX45° BEND WITH INT RING (P24),
PLAIN BEND - 45 DEG,IF1124,160MMX45° BEND WITH INTEGRATED RING (P8),
SIDE DOOR BEND LEFT HAND - 87.5 DEG,IF1125,110MMX87.5°BEND (SIDE DOOR LH) WIR (P11),https://drive.google.com/uc?export=view&id=1R9nw25eWPZ6vG1Ur_hv8x1u_8PfP3yzE
SIDE DOOR BEND RIGHT HAND - 87.5 DEG,IF1126,110MMX87.5°BEND (SIDE DOOR RH) WIR (P11),https://drive.google.com/uc?export=view&id=1bNSbMIwNRup3hwjXE5eD2nrUfXgX0fSQ
TEE SIDE DOOR LEFT HAND,IF1155,75MM TEE(SIDE DOOR LH)WITH INT RING(P15),https://drive.google.com/uc?export=view&id=1lwn5t2ohRDx1gc70-c3UkJttHi6PSYII
TEE SIDE DOOR RIGHT HAND,IF1157,75MM TEE(SIDE DOOR RH)WITH INT RING(P15),https://drive.google.com/uc?export=view&id=1j5XB0o-kxqvVIe-13bzNr8W9K9g8YzfP
TEE SIDE DOOR RIGHT HAND,IF1158,110MM TEE(SIDE DOOR RH)WITH INT RING(P7),https://drive.google.com/uc?export=view&id=1j5XB0o-kxqvVIe-13bzNr8W9K9g8YzfP
REDUCING TEE SIDE DOOR LEFT HAND,IF1178,110X75MM RED.TEE(SIDE DOOR LH)WIR (P13),https://drive.google.com/uc?export=view&id=1MLvOtkhuR3JpAYMC82gnsr6KXihYa6Hu
REDUCING TEE SIDE DOOR RIGHT HAND,IF1179,110X75MM RED.TEE(SIDE DOOR RH) WIR (P13),https://drive.google.com/uc?export=view&id=12tyY5Eo3kbLwvdM_yXxssNnMN-fWHfVJ
DOOR TEE ,IF1145,160MM TEE WITH INTEGRATED RING (P8),
SIDE DOOR LEFT HAND,IF1156,110MM TEE(SIDE DOOR LH)WITH INT RING(P7),https://drive.google.com/uc?export=view&id=1lwn5t2ohRDx1gc70-c3UkJttHi6PSYII
REDUCER,IF1159,90X75MM RED. TEE WITH INT RING (P18),https://drive.google.com/uc?export=view&id=1l9bImtzGjGizncml-bwFujYLICwJLIws
REDUCER,IF1166,110X75MM RED. TEE WITH INT RING (P12),https://drive.google.com/uc?export=view&id=1l9bImtzGjGizncml-bwFujYLICwJLIws
REDUCER,IF1167,160X110MM RED. TEE WITH INT RING (P9),https://drive.google.com/uc?export=view&id=1l9bImtzGjGizncml-bwFujYLICwJLIws
CROSS TEE,IF1223,75MM CROSS TEE (DOOR)WITH INT RING (P15),https://drive.google.com/uc?export=view&id=1JwWv9UqDZoUUfOQUk56CcGe0Gk8LHcT7
CROSS TEE,IF1224,90MM CROSS TEE (DOOR) WITH INT RING(P10),https://drive.google.com/uc?export=view&id=1JwWv9UqDZoUUfOQUk56CcGe0Gk8LHcT7
CROSS TEE,IF1225,110MM CROSS TEE (DOOR)WITH INT RING(P8),https://drive.google.com/uc?export=view&id=1JwWv9UqDZoUUfOQUk56CcGe0Gk8LHcT7
CROSS TEE,IF1226,160MM CROSS TEE (DOOR)WITH INT RING (P4),https://drive.google.com/uc?export=view&id=1JwWv9UqDZoUUfOQUk56CcGe0Gk8LHcT7
SWEPT TEE,IF1233,75MM SWEPT TEE (DOOR) WITH INT RING(P14),https://drive.google.com/uc?export=view&id=1xJ3lP65MSc0SNxs89Nrad_bck0ZwdE7N
SWEPT TEE,IF1234,110MM SWEPT TEE (DOOR) WITH INT RING(P8),https://drive.google.com/uc?export=view&id=1xJ3lP65MSc0SNxs89Nrad_bck0ZwdE7N
SWEPT TEE,IF1235,160MM SWEPT TEE (DOOR) WITH INT RING(P6),https://drive.google.com/uc?export=view&id=1xJ3lP65MSc0SNxs89Nrad_bck0ZwdE7N
SWEPT REDUCING TEE,IF1237,110X75MM SWEPT R.TEE (DOOR)WITH INT RING (P10),https://drive.google.com/uc?export=view&id=1lLrPg6r4G70H6VbqUOXqljn6Q5MTdHv0
DOUBLE Y SIDE DOOR LEFT HAND,IF1255,110MM Y (SIDE DOOR LH) WITH INT RING(P8),https://drive.google.com/uc?export=view&id=1ZW_gYD8tyoJIOtwXizuM50GVRm3Avx2-
DOUBLE Y SIDE DOOR RIGHT HAND,IF1256,110MM Y (SIDE DOOR RH) WITH INT RING(P8),https://drive.google.com/uc?export=view&id=1dl-eQVUkYnTowvXN-yrjFQcFZ0Kor1AE
90 DEG. ELBOW,US1177,"21.34MM (1/2"") ELBOW SH-80 (P350)",
90 DEG. ELBOW,US1178,"26.67MM (3/4"") ELBOW SH-80 (P216)",
90 DEG. ELBOW,US1179,"33.40MM (1"") ELBOW SH-80 (P120)",
90 DEG. ELBOW,US1188,"42.16MM (11/4"") ELBOW SH-80 (P72)",
90 DEG. ELBOW,US1189,"48.26MM (11/2"") ELBOW SH-80 (P48)",
90 DEG. ELBOW,US1199,"60.32MM (2"") ELBOW SH-80 (P30)",
90 DEG. ELBOW,UH1136,"73.02MM (21/2"") ELBOW SH-80 (P15)",
90 DEG. ELBOW,UH1137,"88.90MM (3"") ELBOW SH-80 (P10)",
