,"AGRI /
 NON AGRI","PRODUCT
SEGMENT",Material Group Description,Material Code ,Material Description,UOM,"List Price Per Mtr /  Per Piece
 (in Rs)"
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1112,20MM 10KG/CM2 PLAIN (5 MTR),M,24.80
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1113,20MM 10KG/CM2 PLAIN,M,24.70
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1111,20MM 10KG/CM2 PLAIN (3 MTR),M,24.90
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1114,25MM 12.5KG/CM2 PLAIN (5 MTR),M,45.10
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1115,32MM 12.5KG/CM2 PLAIN (5 MTR),M,74.70
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1119,25MM 10KG/CM2 SELFIT (3 MTR),M,38.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1123,25MM 10KG/CM2 SELFIT,M,36.80
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1122,25MM 10KG/CM2 SELFIT (5 MTR),M,37.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1116,25MM 8KG/CM2 SELFIT (3 MTR),M,34.70
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1117,25MM 8KG/CM2 SELFIT (5 MTR),M,34.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1118,25MM 8KG/CM2 SELFIT,M,34.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1128,32MM 10KG/CM2 SELFIT (5 MTR),M,59.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1129,32MM 10KG/CM2 SELFIT,M,58.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1127,32MM 10KG/CM2 SELFIT (3 MTR),M,62.10
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1124,32MM 8KG/CM2 SELFIT (3 MTR),M,54.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1125,32MM 8KG/CM2 SELFIT (5 MTR),M,53.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1126,32MM 8KG/CM2 SELFIT,M,52.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1137,40MM 10KG/CM2 SELFIT,M,87.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1136,40MM 10KG/CM2 SELFIT ( 3 MTR ),M,88.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1147,40MM 10KG/CM2 SELFIT (5 MTR),M,88.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1134,40MM 6KG/CM2 SELFIT (5 MTR),M,59.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1135,40MM 6KG/CM2 SELFIT,M,59.30
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1133,40MM 6KG/CM2 SELFIT (3 MTR),M,60.50
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1146,50MM 10KG/CM2 SELFIT,M,141.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1145,50MM 10KG/CM2 SELFIT ( 3 MTR ),M,143.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1148,50MM 10KG/CM2 SELFIT (5 MTR),M,143.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1139,50MM 6KG/CM2 SELFIT (5 MTR),M,89.80
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1144,50MM 6KG/CM2 SELFIT,M,89.30
AGRI PIPE & FITTING,AGRI,PIPE,AGRI SMALL DIA PIPE,AS1138,50MM 6KG/CM2 SELFIT (3MTR),M,91.10
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1115,63MM 10KG/CM2 SELFIT,M,217.50
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1149,63MM 10KG/CM2 SELFIT (3 MTR),M,222.80
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1112,63MM 4KG/CM2 SELFIT (5 MTR),M,99.70
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1113,63MM 4KG/CM2 SELFIT,M,98.30
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1111,63MM 4KG/CM2 SELFIT (3 MTR),M,105.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1145,63MM 6KG/CM2 SELFIT (5 MTR),M,144.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1155,63MM 6KG/CM2 SELFIT (3 MTR),M,145.80
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1114,63MM 6KG/CM2 SELFIT,M,141.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1119,75MM 10KG/CM2 SELFIT,M,309.80
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1116,75MM 4KG/CM2 SELFIT (5 MTR),M,140.30
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1117,75MM 4KG/CM2 SELFIT,M,139.50
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1118,75MM 6KG/CM2 SELFIT,M,197.10
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1138,75MM 6KG/CM2 SELFIT (SLOTTED),M,229.90
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1146,75MM 6KG/CM2 SELFIT (5 MTR),M,200.80
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1126,90MM 10KG/CM2 SELFIT,M,439.70
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1123,90MM 2.5KG/CM2 SELFIT,M,125.30
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1122,90MM 4KG/CM2 SELFIT (5 MTR),M,196.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1124,90MM 4KG/CM2 SELFIT,M,194.90
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1125,90MM 6KG/CM2 SELFIT,M,284.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1137,110MM 10KG/CM2 SELFIT,M,662.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1144,110MM 10KG/CM2 SELFIT (SLOTTED),M,770.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1128,110MM 2.5KG/CM2 SELFIT (5 MTR),M,187.70
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1133,110MM 2.5KG/CM2 SELFIT,M,185.80
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1129,110MM 4KG/CM2 SELFIT (5 MTR),M,286.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1134,110MM 4KG/CM2 SELFIT,M,283.50
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1135,110MM 6KG/CM2 SELFIT,M,411.10
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1139,110MM 6KG/CM2 SELFIT (SLOTTED),M,444.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1127,110MM 6KG/CM2 SELFIT ( 3 MTR),M,418.30
AGRI PIPE & FITTING,AGRI,PIPE,AGRI MEDIUM DIA,AM1136,110MM 8KG/CM2 SELFIT,M,537.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1111,125MM 6KG/CM2 SELFIT,M,542.70
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1118,140MM 10KG/CM2 SELFIT,M,1065.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1114,140MM 2.5KG/CM2 SELFIT,M,295.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1115,140MM 4KG/CM2 SELFIT,M,461.30
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1112,140MM 4KG/CM2 SELFIT (3 MTR),M,471.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1113,140MM 6KG/CM2 SELFIT (3 MTR),M,687.50
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1116,140MM 6KG/CM2 SELFIT,M,672.80
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1239,140MM 6KG/CM2 SELFIT (SLOTTED),M,726.50
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1117,140MM 8KG/CM2 SELFIT,M,884.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1127,160MM 10KG/CM2 SELFIT,M,1384.80
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1247,160MM 10KG/CM2 SELFIT (SLOTTED),M,1495.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1267,160MM 2.5KG/CM2 SELFIT (3 MTR),M,391.90
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1123,160MM 2.5KG/CM2 SELFIT,M,385.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1124,160MM 4KG/CM2 SELFIT,M,602.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1119,160MM 4KG/CM2 SELFIT (3 MTR),M,625.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1244,160MM 4KG/CM2 SELFIT (SLOTTED),M,653.10
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1125,160MM 6KG/CM2 SELFIT,M,870.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1245,160MM 6KG/CM2 SELFIT (SLOTTED),M,940.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1122,160MM 6KG/CM2 SELFIT (3 MTR),M,883.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1126,160MM 8KG/CM2 SELFIT,M,1149.10
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1246,160MM 8KG/CM2 SELFIT (SLOTTED),M,1251.10
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1137,180MM 10KG/CM2 SELFIT,M,1765.30
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1133,180MM 2.5KG/CM2 SELFIT,M,496.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1134,180MM 4KG/CM2 SELFIT,M,781.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1128,180MM 6KG/CM2 SELFIT (3 MTR),M,1134.30
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1135,180MM 6KG/CM2 SELFIT,M,1119.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1248,180MM 6KG/CM2 SELFIT (SLOTTED),M,1209.10
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1136,180MM 8KG/CM2 SELFIT,M,1442.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1129,180MM 8KG/CM2 SELFIT (3 MTR),M,1490.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1148,200MM 10KG/CM2 SELFIT,M,2181.50
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1256,200MM 10KG/CM2 SELFIT (SLOTTED),M,2308.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1144,200MM 2.5KG/CM2 SELFIT,M,611.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1268,200MM 2.5KG/CM2 SELFIT (3 MTR),M,625.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1145,200MM 4KG/CM2 SELFIT,M,947.90
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1138,200MM 4KG/CM2 SELFIT (3 MTR),M,962.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1249,200MM 4KG/CM2 SELFIT (SLOTTED),M,1031.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1146,200MM 6KG/CM2 SELFIT,M,1372.00
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1255,200MM 6KG/CM2 SELFIT (SLOTTED),M,1481.70
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1139,200MM 6KG/CM2 SELFIT (3 MTR),M,1392.60
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1147,200MM 8KG/CM2 SELFIT,M,1786.20
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1158,225MM 10KG/CM2 SELFIT,M,2850.90
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1149,225MM 2.5KG/CM2 SELFIT,M,810.50
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1155,225MM 4KG/CM2 SELFIT,M,1233.40
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1156,225MM 6KG/CM2 SELFIT,M,1792.70
AGRI PIPE & FITTING,AGRI,PIPE,AGRI HIGH DIA PIPE,AH1257,225MM 6KG/CM2 SELFIT (SLOTTED),M,1935.90
