MAIN CATAGORY,"AGRI /
 NON AGRI","PRODUCT
SEGMENT",Material Group Description,Material Sub Type,Material Code ,Material Description,Packing,UOM,Price Per,Packing
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,V4 - COUPLER TYPE,CO1111,"25 MM NB (1"") COLUMN PIPE (V4-12.5KG)",90,MTR,109.70, PRICE PER MTR
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,V4 - COUPLER TYPE,CO1112,"25 MM NB (11/4"") COLUMN PIPE (V4-12.5KG)",75,MTR,170.50, PRICE PER MTR
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,V4 - COUPLER TYPE,CO1113,"25 MM NB (1"") COLUMN PIPE (V4)",90,MTR,124.30, PRICE PER MTR
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,V4 - COUPLER TYPE,CO1114,"32 MM NB (1 1/4"") COLUMN PIPE (V4)",75,MTR,180.40, PRICE PER MTR
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,V4 - COUPLER TYPE,CO1115,"40 MM NB (1 1/2"") COLUMN PIPE (V4)",60,MTR,231.00, PRICE PER MTR
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,V4 - COUPLER TYPE,CO1179,"40MM NB (1½"") COLUMN PIPE (V4) (1.5 MTR)",60,MTR,284.20, PRICE PER MTR
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,CRYSTAL - COUPLER TYPE,CO1116,"25 MM NB (1"") COLUMN PIPE (CRYSTAL)",90,MTR,141.70, PRICE PER MTR
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,CRYSTAL - COUPLER TYPE,CO1117,"32 MM NB (1 1/4"") COLUMN PIPE (CRYSTAL)",75,MTR,202.20, PRICE PER MTR
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,CRYSTAL - COUPLER TYPE,CO1118,"40 MM NB (1 1/2"") COLUMN PIPE (CRYSTAL)",60,MTR,255.70, PRICE PER MTR
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,CRYSTAL - COUPLER TYPE,CO1188,"40MM NB (1½"") COLUMN PIPE (CRYSTAL)  (1.5 MTR)",60,MTR,328.30, PRICE PER MTR
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,CRYSTAL - COUPLER TYPE,CO1169,"50MM NB (2"") COLUMN PIPE (CRYSTAL)  ",45,MTR,351.90, PRICE PER MTR
COLUMN PIPES,AGRI,PIPES,COLUMN PIPES,CRYSTAL - COUPLER TYPE,CO1189,"50MM NB (2"") COLUMN PIPE (CRYSTAL)  (1.5 MTR)",45,MTR,447.70, PRICE PER MTR
