MAIN CATAGORY,"AGRI /
 NON AGRI","PRODUCT
SEGMENT",Material Group Description,Material Sub Type,Material Code ,Material Description,Standard Packing,UOM,"Price Per 
MTR/ NOS.",Packing,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,PLAIN ,HP1111,20MM/15KG PLAIN,180,MTR,52.2, PRICE PER MTR,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,PLAIN ,HP1112,25MM/15KG PLAIN,150,MTR,70.9, PRICE PER MTR,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,PLAIN ,HP1113,32MM/15KG PLAIN,90,MTR,106.8, PRICE PER MTR,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,SELFIT,HP1114,40MM/15KG SELFIT (PLUMBING)-3 MTR,15,MTR,140.6, PRICE PER MTR,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,PLAIN ,HP1115,40MM/15KG PLAIN,6,MTR,137.8, PRICE PER MTR,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,PLAIN ,HP1116,50MM/15KG PLAIN,6,MTR,179.8, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,PLAIN ,AS1111,20MM 10KG/CM2 PLAIN (3 MTR),75,MTR,24.9, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,PLAIN ,AS1112,20MM 10KG/CM2 PLAIN (5 MTR),125,MTR,24.8, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,PLAIN ,AS1113,20MM 10KG/CM2 PLAIN,150,MTR,24.7, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,PLAIN ,AS1114,25MM 12.5KG/CM2 PLAIN (5 MTR),125,MTR,45.1, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,PLAIN ,AS1115,32MM 12.5KG/CM2 PLAIN (5 MTR),50,MTR,74.7, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1116,25MM 8KG/CM2 SELFIT (3 MTR),75,MTR,34.7, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1117,25MM 8KG/CM2 SELFIT (5 MTR),125,MTR,34.4, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1118,25MM 8KG/CM2 SELFIT,150,MTR,34, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1119,25MM 10KG/CM2 SELFIT (3 MTR),75,MTR,38.4, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1122,25MM 10KG/CM2 SELFIT (5 MTR),125,MTR,37.2, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1123,25MM 10KG/CM2 SELFIT,150,MTR,36.8, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1124,32MM 8KG/CM2 SELFIT (3 MTR),45,MTR,54.4, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1125,32MM 8KG/CM2 SELFIT (5 MTR),75,MTR,53, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1126,32MM 8KG/CM2 SELFIT,90,MTR,52.6, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1127,32MM 10KG/CM2 SELFIT (3 MTR),30,MTR,62.1, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1128,32MM 10KG/CM2 SELFIT (5 MTR),50,MTR,59.2, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1129,32MM 10KG/CM2 SELFIT,60,MTR,58.6, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1133,40MM 6KG/CM2 SELFIT (3 MTR),30,MTR,60.5, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1134,40MM 6KG/CM2 SELFIT (5 MTR),50,MTR,59.6, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1135,40MM 6KG/CM2 SELFIT,60,MTR,59.3, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1136,40MM 10KG/CM2 SELFIT ( 3 MTR ),30,MTR,88.6, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1147,40MM 10KG/CM2 SELFIT (5 MTR),50,MTR,88.6, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1137,40MM 10KG/CM2 SELFIT,60,MTR,87.2, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1138,50MM 6KG/CM2 SELFIT (3MTR),15,MTR,91.1, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1139,50MM 6KG/CM2 SELFIT (5 MTR),25,MTR,89.8, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1144,50MM 6KG/CM2 SELFIT,60,MTR,89.3, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1145,50MM 10KG/CM2 SELFIT ( 3 MTR ),15,MTR,143, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1148,50MM 10KG/CM2 SELFIT (5 MTR),25,MTR,143, PRICE PER MTR,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,SELFIT,AS1146,50MM 10KG/CM2 SELFIT,30,MTR,141, PRICE PER MTR,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,SELFIT,AM1111,63MM 4KG/CM2 SELFIT (3 MTR),3,MTR,105.4, PRICE PER MTR,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,SELFIT,AM1112,63MM 4KG/CM2 SELFIT (5 MTR),5,MTR,99.7, PRICE PER MTR,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,SELFIT,AM1113,63MM 4KG/CM2 SELFIT,6,MTR,98.3, PRICE PER MTR,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,SELFIT,AM1114,63MM 6KG/CM2 SELFIT,6,MTR,141.4, PRICE PER MTR,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,SELFIT,AM1145,63MM 6KG/CM2 SELFIT (5 MTR),5,MTR,144.4, PRICE PER MTR,
