,"AGRI /
 NON AGRI","PRODUCT
SEGMENT",Material Group Description,Material Code ,Material Description,UOM,"List Price Per Mtr /  Per Piece
 (in Rs)"
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1111,160MM SN2,M,606.80
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1112,200MM SN2,M,987.60
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1113,160MM SN4 (3 MTR),M,740.10
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1114,160MM SN4,M,728.00
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1115,200MM SN4 (3 MTR),M,1167.40
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1116,200MM SN4,M,1147.90
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1117,110MM SN8 (3 MTR),M,407.00
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1118,110MM SN8,M,401.80
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1119,160MM SN8 (3 MTR),M,897.30
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1122,160MM SN8,M,870.70
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1123,200MM SN8 (3 MTR),M,1412.70
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1124,200MM SN8,M,1361.60
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1125,250MM SN2 RING FIT,M,1542.80
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1126,315MM SN2 RING FIT,M,2436.00
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1127,250MM SN4 RING FIT,M,1898.70
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1128,315MM SN4 RING FIT,M,2990.20
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1129,250MM SN8 RING FIT,M,2223.60
SEWERAGE PIPE,NON AGRI,PIPE,SEWERAGE PIPES,DP1133,315MM SN8 RING FIT,M,3538.70
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1111,PVC-U SOLVENT (AGRI) 100 ML-TIN (P144),EA,83.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1112,PVC-U SOLVENT (AGRI) 250 ML-TIN (P96),EA,138.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1113,PVC-U SOLVENT (AGRI) 500 ML-TIN (P48),EA,239.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1114,PVC-U SOLVENT (AGRI) 1000 ML-TIN (P24),EA,377.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1115,PVC-U SOLVENT (AGRI) 5000 ML-CAN (P-6),EA,"1,800.00"
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1116,PVC-U SOLVENT(AGRI-HIGHER)250ML TIN(P96),EA,202.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1117,PVC-U SOLVENT(AGRI-HIGHER)500ML TIN(P48),EA,352.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1118,PVC-U SOLVENT(AGRI-HIGHER)1000ML TIN(P24,EA,593.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1119,PVC-U SOLVENT(AGRI-HIGHER)5000ML CAN(P6),EA,"2,727.00"
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1122,PVC-U SOLVENT (MEDIUM) 118 ML-TIN (P-144,EA,153.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1123,PVC-U SOLVENT (MEDIUM) 237 ML-TIN (P-96),EA,219.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1124,PVC-U SOLVENT (MEDIUM) 473 ML-TIN (P-48),EA,438.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1125,PVC-U SOLVENT (HEAVY) 118 ML-TIN (P-144),EA,185.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1126,PVC-U SOLVENT (HEAVY) 237 ML-TIN (P-96),EA,267.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1127,PVC-U SOLVENT (HEAVY) 473 ML-TIN (P-48),EA,492.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1128,CPVC SOLVENT CEMENT MED 59ML-TIN(P48),EA,126.50
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1129,CPVC SOLVENT CEMENT MED 118ML-TIN(P192),EA,198.50
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1133,CPVC SOLVENT CEMENT MED 237ML-TIN(P96),EA,337.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1134,CPVC SOLVENT CEMENT MED 473ML-TIN(P24),EA,611.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1135,CPVC SOLVENT CEMENT MED 946ML-TIN(P24),EA,"1,179.50"
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1136,CPVC SOLVENT CEMENT HEAVY 118ML-TIN(P192,EA,218.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1137,CPVC SOLVENT CEMENT HEAVY 237ML-TIN(P96),EA,371.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1138,CPVC SOLVENT CEMENT HEAVY 473ML-TIN(P24),EA,672.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1139,CPVC SOLVENT CEMENT HEAVY 946ML-TIN(P24),EA,"1,298.00"
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1144,PVC-U SOLVENT (SWR) 100 ML-TIN (P144),EA,83.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1145,PVC-U SOLVENT (SWR) 250 ML-TIN (P96),EA,138.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1146,PVC-U SOLVENT (SWR) 500 ML-TIN (P48),EA,239.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1147,PVC-U SOLVENT (SWR) 1000 ML-TIN (P24),EA,377.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1148,PRIMER FF FOR CPVC PIPE 237ML TIN(P96),EA,291.50
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1149,PRIMER FOR UPVC CPVC PIPE 473ML TIN(P48),EA,400.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1155,RUBBER LUBRICANT 50 GRAM (P200),EA,20.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1156,RUBBER LUBRICANT 100 GRAM (P100),EA,33.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1157,RUBBER LUBRICANT 250 GRAM (P40),EA,68.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1158,RUBBER LUBRICANT 500 GRAM (P20),EA,110.00
SOLVENT CEMENT,NON AGRI,SOLVENT,SOLVENT CEMENT,SC1159,RUBBER LUBRICANT 1000 GRAM (P10),EA,214.00
,,,,,,,
