product_type,agri_nonagri_type,product_segment,material_group_description,material_code,material_description,uom,price,custom_1,custom_2,custom_3,custom_4,custom_5,material_code_new,REMARKS,CHANGES
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,5401,20MM/15KG PLAIN,MTR,72.5, PRICE PER MTR,PLAIN ,180,11,HEAVY PRESSURE PLUMBING PIPES 15KG,HP1111,,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,5402,25MM/15KG PLAIN,MTR,98.5, PRICE PER MTR,PLAIN ,150,NULL,HEAVY PRESSURE PLUMBING PIPES 15KG,HP1112,,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,5403,32MM/15KG PLAIN,MTR,148, PRICE PER MTR,PLAIN ,90,NULL,HEAVY PRESSURE PLUMBING PIPES 15KG,HP1113,,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,5404,40MM/15KG PLAIN-3 MTR,MTR,195, PRICE PER MTR,PLAIN,15,NULL,HEAVY PRESSURE PLUMBING PIPES 15KG,HP1114,,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,5405,40MM/15KG PLAIN,MTR,195, PRICE PER MTR,PLAIN ,6,NULL,HEAVY PRESSURE PLUMBING PIPES 15KG,HP1115,,
HEAVY PLUMBING PIPE,PLUMBING & SANITATION,PIPES,HEAVY PLUMBING PIPE,5406,50MM/15KG PLAIN,MTR,249.5, PRICE PER MTR,PLAIN ,6,NULL,HEAVY PRESSURE PLUMBING PIPES 15KG,HP1116,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1001,20MM 10KG/CM2 PLAIN (3 MTR),MTR,35,PRICE PER MTR,PLAIN ,75,1,AGRI RIGID PLAIN PIPE-10KG,AS1111,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1002,20MM 10KG/CM2 PLAIN (5 MTR),MTR,35,PRICE PER MTR,PLAIN ,125,NULL,AGRI RIGID PLAIN PIPE-10KG,AS1112,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1003,20MM 10KG/CM2 PLAIN,MTR,35,PRICE PER MTR,PLAIN ,150,NULL,AGRI RIGID PLAIN PIPE-10KG,AS1113,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1006,25MM 12.5KG/CM2 PLAIN (5 MTR),MTR,63.5,PRICE PER MTR,PLAIN ,125,NULL,AGRI RIGID PLAIN PIPE-12.5KG,AS1114,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1008,32MM 12.5KG/CM2 PLAIN (5 MTR),MTR,105.5,PRICE PER MTR,PLAIN ,50,NULL,AGRI RIGID PLAIN PIPE-12.5KG,AS1115,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1009,25MM 8KG/CM2 SELFIT (3 MTR),MTR,49,PRICE PER MTR,SELFIT,75,NULL,AGRI SELFIT PIPE-8KG,AS1116,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1012,25MM 8KG/CM2 SELFIT (5 MTR),MTR,49,PRICE PER MTR,SELFIT,125,NULL,AGRI SELFIT PIPE-8KG,AS1117,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1015,25MM 8KG/CM2 SELFIT,MTR,49,PRICE PER MTR,SELFIT,150,NULL,AGRI SELFIT PIPE-8KG,AS1118,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1010,25MM 10KG/CM2 SELFIT (3 MTR),MTR,52,PRICE PER MTR,SELFIT,75,NULL,AGRI SELFIT PIPE-10KG,AS1119,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1013,25MM 10KG/CM2 SELFIT (5 MTR),MTR,52,PRICE PER MTR,SELFIT,125,NULL,AGRI SELFIT PIPE-10KG,AS1122,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1016,25MM 10KG/CM2 SELFIT,MTR,52,PRICE PER MTR,SELFIT,150,NULL,AGRI SELFIT PIPE-10KG,AS1123,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1018,32MM 8KG/CM2 SELFIT (3 MTR),MTR,74.5,PRICE PER MTR,SELFIT,45,NULL,AGRI SELFIT PIPE-8KG,AS1124,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1021,32MM 8KG/CM2 SELFIT (5 MTR),MTR,74.5,PRICE PER MTR,SELFIT,75,NULL,AGRI SELFIT PIPE-8KG,AS1125,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1024,32MM 8KG/CM2 SELFIT,MTR,74.5,PRICE PER MTR,SELFIT,90,NULL,AGRI SELFIT PIPE-8KG,AS1126,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1019,32MM 10KG/CM2 SELFIT (3 MTR),MTR,83,PRICE PER MTR,SELFIT,30,NULL,AGRI SELFIT PIPE-10KG,AS1127,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1022,32MM 10KG/CM2 SELFIT (5 MTR),MTR,83,PRICE PER MTR,SELFIT,50,NULL,AGRI SELFIT PIPE-10KG,AS1128,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1025,32MM 10KG/CM2 SELFIT,MTR,83,PRICE PER MTR,SELFIT,60,NULL,AGRI SELFIT PIPE-10KG,AS1129,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1027,40MM 6KG/CM2 SELFIT (3 MTR),MTR,84,PRICE PER MTR,SELFIT,30,NULL,AGRI SELFIT PIPE-6KG,AS1133,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1031,40MM 6KG/CM2 SELFIT (5 MTR),MTR,84,PRICE PER MTR,SELFIT,50,NULL,AGRI SELFIT PIPE-6KG,AS1134,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1035,40MM 6KG/CM2 SELFIT,MTR,84,PRICE PER MTR,SELFIT,60,NULL,AGRI SELFIT PIPE-6KG,AS1135,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1029,40MM 10KG/CM2 SELFIT ( 3 MTR ),MTR,123,PRICE PER MTR,SELFIT,30,NULL,AGRI SELFIT PIPE-10KG,AS1136,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1033,40MM 10KG/CM2 SELFIT (5 MTR),MTR,123, PRICE PER MTR,SELFIT,50,NULL,AGRI SELFIT PIPE-10KG,AS1147,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1037,40MM 10KG/CM2 SELFIT,MTR,123, PRICE PER MTR,SELFIT,60,NULL,AGRI SELFIT PIPE-10KG,AS1137,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1039,50MM 6KG/CM2 SELFIT (3MTR),MTR,126, PRICE PER MTR,SELFIT,15,NULL,AGRI SELFIT PIPE-6KG,AS1138,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1043,50MM 6KG/CM2 SELFIT (5 MTR),MTR,126, PRICE PER MTR,SELFIT,25,NULL,AGRI SELFIT PIPE-6KG,AS1139,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1047,50MM 6KG/CM2 SELFIT,MTR,126, PRICE PER MTR,SELFIT,60,NULL,AGRI SELFIT PIPE-6KG,AS1144,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1041,50MM 10KG/CM2 SELFIT ( 3 MTR ),MTR,199.5, PRICE PER MTR,SELFIT,15,NULL,AGRI SELFIT PIPE-10KG,AS1145,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1045,50MM 10KG/CM2 SELFIT (5 MTR),MTR,199.5, PRICE PER MTR,SELFIT,25,NULL,AGRI SELFIT PIPE-10KG,AS1148,,
AGRI SMALL DIA PIPE,AGRI,PIPES,AGRI SMALL DIA PIPE,1049,50MM 10KG/CM2 SELFIT,MTR,199.5, PRICE PER MTR,SELFIT,30,NULL,AGRI SELFIT PIPE-10KG,AS1146,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1051,63MM 4KG/CM2 SELFIT (3 MTR),MTR,139,PRICE PER MTR,SELFIT,3,2,AGRI SELFIT PIPE-4KG,AM1111,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1056,63MM 4KG/CM2 SELFIT (5 MTR),MTR,139,PRICE PER MTR,SELFIT,5,NULL,AGRI SELFIT PIPE-4KG,AM1112,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1061,63MM 4KG/CM2 SELFIT,MTR,139,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-4KG,AM1113,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1062,63MM 6KG/CM2 SELFIT,MTR,200,PRICE PER MTR,SELFIT,6,NULL,AGRI SELFIT PIPE-6KG,AM1114,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1057,63MM 6KG/CM2 SELFIT (5 MTR),MTR,200,PRICE PER MTR,SELFIT,5,NULL,AGRI SELFIT PIPE-6KG,AM1145,,
AGRI MEDIUM DIA PIPE,AGRI,PIPES,AGRI MEDIUM DIA PIPE,1052,63MM 6KG/CM2 SELFIT (3 MTR),MTR,200,PRICE PER MTR,SELFIT,3,NULL,AGRI SELFIT PIPE-6KG,AM1155,,
